subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt
2,765152725,Right,,rather not say,rather not say,66,99,166084.89225985,166087.642510103,OK,3,CFS,1,0,0.5,2@,Return,2.75589704094455
2,765152725,Right,,rather not say,rather not say,67,74,166089.067633259,166092.317930281,OK,7,CFS,1,0,0.5,2@,Return,3.25593928218586
2,765152725,Right,,rather not say,rather not say,68,4,166093.734725514,166096.484973495,OK,3,CFS,1,0,0.5,2@,Return,2.7558204762172
2,765152725,Right,,rather not say,rather not say,69,26,166097.901767749,166101.277066601,OK,8,CFS,1,0,0.5,2@,Return,3.3809783810575
2,765152725,Right,,rather not say,rather not say,70,2,166102.69386526,166105.069078989,OK,0,CFS,1,0,0.5,2@,Return,2.38081960679847
2,765152725,Right,,rather not say,rather not say,71,30,166106.75256242,166109.502809157,OK,3,CFS,1,0,0.5,2@,Return,2.75575089026825
2,765152725,Right,,rather not say,rather not say,72,19,166110.919606768,166111.044616268,CAUGHT,0,NULL,0,0,0,,Return,0.13049405021593
2,765152725,Right,,rather not say,rather not say,73,85,166112.453074307,166115.70337229,OK,7,CFS,1,0,0.5,2@,Return,3.25589673910872
2,765152725,Right,,rather not say,rather not say,74,15,166117.120161289,166119.495378906,OK,0,CFS,1,0,0.5,2@,Return,2.38077384908684
2,765152725,Right,,rather not say,rather not say,75,35,166120.912170179,166124.162467965,OK,7,CFS,1,0,0.5,2@,Return,3.25599830329884
2,765152725,Right,,rather not say,rather not say,76,53,166125.57926183,166128.329509527,OK,3,CFS,1,0,0.5,2@,Return,2.75579497875879
2,765152725,Right,,rather not say,rather not say,77,80,166129.746302272,166132.871578591,OK,6,CFS,1,0,0.5,2@,Return,3.13084721725318
2,765152725,Right,,rather not say,rather not say,78,8,166134.288378387,166137.663680629,OK,8,CFS,1,0,0.5,2@,Return,3.38102436831105
2,765152725,Right,,rather not say,rather not say,79,28,166139.08047952,166139.205489444,CAUGHT,4,NULL,0,0,0,,Return,0.130436360283056
2,765152725,Right,,rather not say,rather not say,80,71,166140.613950913,166143.364190937,OK,3,CFS,1,0,0.5,2@,Return,2.75569272041321
2,765152725,Right,,rather not say,rather not say,81,39,166145.047678896,166147.422895182,OK,0,CFS,1,0,0.5,2@,Return,2.38070516867447
2,765152725,Right,,rather not say,rather not say,82,91,166148.839691426,166148.96470018,CAUGHT,8,NULL,0,0,0,,Return,0.130430039484054
2,765152725,Right,,rather not say,rather not say,83,13,166150.373160936,166150.49817285,CAUGHT,7,NULL,0,0,0,,Return,0.130383110517869
2,765152725,Right,,rather not say,rather not say,84,57,166151.906626362,166152.031643461,CAUGHT,8,NULL,0,0,0,,Return,0.130277782183839
